21000	Уклонение	20100	icon_skills.tumbling_tex	Быстрое уклонение	icon_crest.e_crestactiveattackspeedup_tex	30% вероятность на 10 секунд повысить скорость атаки на 15%.
21001	Ответный удар	130100	icon_skills.risingattack_tex	Стремительный ответный удар	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
21002	Смерть с небес	100100	icon_skills.evasionattack_tex	Неизбежная смерть с небес	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 30%.
21003	Инстинкт охотника	140100	icon_skills.aimingankle_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21004	Комбо-атака	10100	icon_skills.comboattack_tex	Угрожающая комбо-атака	icon_crest.e_crestpassiveaggroup_tex	Дает 5% дополнительной агрессии.
21005	Шквал ударов	30100	icon_skills.nanmu_tex	Угрожающий шквал ударов	icon_crest.e_crestpassiveaggroup_tex	Дает 20% дополнительной агрессии.
21006	Град ударов	40100	icon_skills.pointattack_tex	Усиленный град ударов	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25% и увеличивает получение преимущества от него.
21007	Удар в прыжке	120100	icon_skills.downblowattack_tex	Усиленный удар в прыжке	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21008	Отравленный клинок	110100	icon_skills.poisonblowattack_tex	Опасный отравленный клинок	icon_crest.e_crestpassiveskilleffectup_tex	Повышает урон от яда на 15%.
21009	Защитная стойка	90100	icon_skills.ironwillb_tex	Несокрушимая защитная стойка	icon_crest.e_crestpassiveskilleffectup_tex	+20% к выносливости.
21010	Ответный удар	130100	icon_skills.risingattack_tex	Усиленный ответный удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21011	Шквал ударов	30100	icon_skills.nanmu_tex	Весомый шквал ударов	icon_crest.e_crestnextskillmpdown_tex	На 88 MP снижает стоимость умения "Град ударов" на несколько секунд.
21012	Ответный удар	130100	icon_skills.risingattack_tex	Весомый ответный удар	icon_crest.e_crestnextskillmpdown_tex	На 75 MP снижает стоимость умения "Удар в прыжке" на несколько секунд.
21013	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	+35% к количеству восстанавливаемых MP.
21014	Смерть с небес	100100	icon_skills.evasionattack_tex	Быстрая смерть с небес	icon_crest.e_crestactiveattackspeedup_tex	50% вероятность на 10 секунд повысить скорость атаки на 15%.
21015	Уклонение	20100	icon_skills.tumbling_tex	Нескончаемое уклонение	icon_crest.e_crestactivecooltimereset_tex	Уменьшает затраты решительности на 100 единиц.
21016	Боевой клич	50100	icon_skills.thunderingroar_tex	Стремительный боевой клич	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
21017	Град ударов	40100	icon_skills.pointattack_tex	Восстанавливающий град ударов	icon_crest.e_crestpassivehpheal_tex	Немедленно восстанавливает 0,5% HP.
21018	Удар воина	180100	icon_skills.aggravatingstrike_tex	Живительный удар воина	icon_crest.e_crestpassivehpdown_tex	Снижает расход HP на 50%.
21019	Круговой удар	170100	icon_skills.allroundslash_tex	Усиленный круговой удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21020	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Стремительный разъяряющий порез	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
21021	Штурмовая стойка	80100	icon_skills.ironwilla_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21022	Нарастающая ярость	190100	icon_skills.tenaciousattack_tex	Неутомимая нарастающая ярость	icon_crest.e_crestactivecooltimereset_tex	25% вероятность сбросить время перезарядки.
21023	Призрачный воин	240100	icon_skills.decoy_tex	Стремительный призрачный воин	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
21024	Удар в спину	220100	icon_skills.backattack_tex	Калечащий удар в спину	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21025	Смертельная игра	200100	icon_skills.deadlywill_tex	Стремительная смертельная игра	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
21026	Ошеломление	230100	icon_skills.reversalturningattack_tex	Усиленное ошеломление	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21027	Каскад оглушений	210100	icon_skills.hardslash_tex	Блистательный каскад оглушений	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 88 MP.
21028	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	На 20% повышает урон умения "Нарастающая ярость" на несколько секунд.
21029	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Весомый разъяряющий порез	icon_crest.e_crestnextskillmpdown_tex	На 50 MP снижает стоимость умения "Отравленный клинок" на несколько секунд.
